Column1,id,title,context,question,answers,modified_question (GPT 3.5 Turbo),modified_question
0,6.22E+11,حمزة بن عبد المطلب,"حمزة بن عبد المطلب الهاشمي القرشي صحابي من صحابة رسول الإسلام محمد، وعمُّه وأخوه من الرضاعة وأحد وزرائه الأربعة عشر، وهو خير أعمامه لقوله: «خَيْرُ إِخْوَتِي عَلِيٌّ، وَخَيْرُ أَعْمَامِي حَمْزَةُ رَضِيَ اللَّهُ عَنْهُمَا».",من هو حمزة بن عبد المطلب؟,"{'text': array(['صحابي من صحابة رسول الإسلام محمد، وعمُّه وأخوه من الرضاعة وأحد وزرائه الأربعة عشر،'],
      dtype=object), 'answer_start': array([34], dtype=int32)}",من هو حمزة بن عبد المطلب؟,من هو حمزة بن عبد المطلب؟
1,1.89E+11,حمزة بن عبد المطلب,"حمزة بن عبد المطلب الهاشمي القرشي صحابي من صحابة رسول الإسلام محمد، وعمُّه وأخوه من الرضاعة وأحد وزرائه الأربعة عشر، وهو خير أعمامه لقوله: «خَيْرُ إِخْوَتِي عَلِيٌّ، وَخَيْرُ أَعْمَامِي حَمْزَةُ رَضِيَ اللَّهُ عَنْهُمَا».",بما وصفه رسول الله؟,"{'text': array(['وَخَيْرُ أَعْمَامِي'], dtype=object), 'answer_start': array([166], dtype=int32)}",بما وصف رسول الله حمزة بن عبد المطلب؟,بما وصف رسول الله حمزة بن عبد المطلب؟
2,6.63E+11,حمزة بن عبد المطلب,"حمزة بن عبد المطلب الهاشمي القرشي صحابي من صحابة رسول الإسلام محمد، وعمُّه وأخوه من الرضاعة وأحد وزرائه الأربعة عشر، وهو خير أعمامه لقوله: «خَيْرُ إِخْوَتِي عَلِيٌّ، وَخَيْرُ أَعْمَامِي حَمْزَةُ رَضِيَ اللَّهُ عَنْهُمَا».",بما وصف رسول الله على ؟,"{'text': array(['«خَيْرُ إِخْوَتِي عَلِيٌّ،'], dtype=object), 'answer_start': array([139], dtype=int32)}",بما وصف رسول الله عليّ؟,بما وصف رسول الله عليّ؟
3,50146585922,حمزة بن عبد المطلب,"أسلم حمزة في السنة الثانية من بعثة النبي محمد، فلمَّا أسلم علمت قريش أن الرسولَ محمداً قد عز وامتنع وأن حمزة سيمنعه، فكفّوا عن بعض ما كانوا ينالون منه. ثم هاجر حمزة إلى المدينة المنورة، فآخى الرسولُ بينه وبين زيد بن حارثة. وكان أولُ لواء عقده الرسولُ محمدٌ هو اللواءَ الذي عقده لحمزة، وشهد حمزةُ غزوة بدر، وقَتَلَ فيها شيبة بن ربيعة مبارزةً، وقتل غيرَه كثيراً من المشركين، كما شهد غزوة أحد، فقُتل بها سنة 3هـ، وكان قد قَتَلَ من المشركين قبل أن يُقتل واحداً وثلاثين نفساً، وكان الذي قتله هو وحشي بن حرب الحبشي غلامُ جبير بن مطعم، ومثَّل به المشركون، وبقرت هند بنت عتبة بطنَه فأخرجت كبده، فجعلت تلوكها فلم تسغها فلفظتها، فقال الرسولُ محمدٌ: ، وخرج الرسولُ يلتمس حمزة، فوجده ببطن الوادي قد مُثِّل به، فلم ير منظراً كان أوجع لقلبه منه فقال: . ودفن حمزة وابن أخته عبد الله بن جحش في قبر واحد.",متى اسلم حمزة؟,"{'text': array(['في السنة الثانية من بعثة النبي محمد،'], dtype=object), 'answer_start': array([10], dtype=int32)}",متى أسلم حمزة؟,متى أسلم حمزة؟
4,2.6E+11,حمزة بن عبد المطلب,"أسلم حمزة في السنة الثانية من بعثة النبي محمد، فلمَّا أسلم علمت قريش أن الرسولَ محمداً قد عز وامتنع وأن حمزة سيمنعه، فكفّوا عن بعض ما كانوا ينالون منه. ثم هاجر حمزة إلى المدينة المنورة، فآخى الرسولُ بينه وبين زيد بن حارثة. وكان أولُ لواء عقده الرسولُ محمدٌ هو اللواءَ الذي عقده لحمزة، وشهد حمزةُ غزوة بدر، وقَتَلَ فيها شيبة بن ربيعة مبارزةً، وقتل غيرَه كثيراً من المشركين، كما شهد غزوة أحد، فقُتل بها سنة 3هـ، وكان قد قَتَلَ من المشركين قبل أن يُقتل واحداً وثلاثين نفساً، وكان الذي قتله هو وحشي بن حرب الحبشي غلامُ جبير بن مطعم، ومثَّل به المشركون، وبقرت هند بنت عتبة بطنَه فأخرجت كبده، فجعلت تلوكها فلم تسغها فلفظتها، فقال الرسولُ محمدٌ: ، وخرج الرسولُ يلتمس حمزة، فوجده ببطن الوادي قد مُثِّل به، فلم ير منظراً كان أوجع لقلبه منه فقال: . ودفن حمزة وابن أخته عبد الله بن جحش في قبر واحد.",و ماذا فعل فى غزوة بدر؟,"{'text': array(['وقَتَلَ فيها شيبة بن ربيعة مبارزةً، وقتل غيرَه كثيراً من المشركين،'],
      dtype=object), 'answer_start': array([306], dtype=int32)}",و ماذا فعل حمزة في غزوة بدر؟,و ماذا فعل حمزة في غزوة بدر؟
5,4.28E+11,حمزة بن عبد المطلب,"أسلم حمزة في السنة الثانية من بعثة النبي محمد، فلمَّا أسلم علمت قريش أن الرسولَ محمداً قد عز وامتنع وأن حمزة سيمنعه، فكفّوا عن بعض ما كانوا ينالون منه. ثم هاجر حمزة إلى المدينة المنورة، فآخى الرسولُ بينه وبين زيد بن حارثة. وكان أولُ لواء عقده الرسولُ محمدٌ هو اللواءَ الذي عقده لحمزة، وشهد حمزةُ غزوة بدر، وقَتَلَ فيها شيبة بن ربيعة مبارزةً، وقتل غيرَه كثيراً من المشركين، كما شهد غزوة أحد، فقُتل بها سنة 3هـ، وكان قد قَتَلَ من المشركين قبل أن يُقتل واحداً وثلاثين نفساً، وكان الذي قتله هو وحشي بن حرب الحبشي غلامُ جبير بن مطعم، ومثَّل به المشركون، وبقرت هند بنت عتبة بطنَه فأخرجت كبده، فجعلت تلوكها فلم تسغها فلفظتها، فقال الرسولُ محمدٌ: ، وخرج الرسولُ يلتمس حمزة، فوجده ببطن الوادي قد مُثِّل به، فلم ير منظراً كان أوجع لقلبه منه فقال: . ودفن حمزة وابن أخته عبد الله بن جحش في قبر واحد.",من قتل حمزة؟,"{'text': array(['وحشي بن حرب الحبشي'], dtype=object), 'answer_start': array([490], dtype=int32)}",من قتل حمزة في غزوة أحد؟,من قتل حمزة؟
6,64970747469,حمزة بن عبد المطلب,"تربى حمزة بن عبد المطلب في كنف والده عبد المطلب بن هاشم الذي كان سيد قريش وبني هاشم، ونشأ مع تِربه وابن أخيه عبد الله وأخيه من الرضاعة محمد بن عبد الله بن عبد المطلب، وعاشا ينهلان من الشمائل والقيم العربية الأصيلة، من بطولة وشجاعة وكرم ونجدة وغيرها، وارتبطت بينهما صداقة متينة ووثيقة العُرا.",من هو عبد المطلب بن هاشم؟,"{'text': array(['سيد قريش وبني هاشم،'], dtype=object), 'answer_start': array([65], dtype=int32)}",من هو عبد المطلب بن هاشم؟,من هو عبد المطلب بن هاشم؟
7,13675524569,حمزة بن عبد المطلب,"تربى حمزة بن عبد المطلب في كنف والده عبد المطلب بن هاشم الذي كان سيد قريش وبني هاشم، ونشأ مع تِربه وابن أخيه عبد الله وأخيه من الرضاعة محمد بن عبد الله بن عبد المطلب، وعاشا ينهلان من الشمائل والقيم العربية الأصيلة، من بطولة وشجاعة وكرم ونجدة وغيرها، وارتبطت بينهما صداقة متينة ووثيقة العُرا.",من اخو حمزة فى الرضاعة؟,"{'text': array(['محمد بن عبد الله بن عبد المطلب،'], dtype=object), 'answer_start': array([135], dtype=int32)}",من هو أخو حمزة في الرضاعة؟,من هو أخو حمزة في الرضاعة؟
8,7.21E+11,حمزة بن عبد المطلب,"تربى حمزة بن عبد المطلب في كنف والده عبد المطلب بن هاشم الذي كان سيد قريش وبني هاشم، ونشأ مع تِربه وابن أخيه عبد الله وأخيه من الرضاعة محمد بن عبد الله بن عبد المطلب، وعاشا ينهلان من الشمائل والقيم العربية الأصيلة، من بطولة وشجاعة وكرم ونجدة وغيرها، وارتبطت بينهما صداقة متينة ووثيقة العُرا.",ماذا جمع بين  حمزة و محمد بن عبد الله؟,"{'text': array(['صداقة متينة ووثيقة العُرا.'], dtype=object), 'answer_start': array([265], dtype=int32)}",ماذا جمع بين حمزة ومحمد بن عبد الله؟,ماذا جمع بين حمزة ومحمد بن عبد الله؟
9,8.1E+11,القمر,"القمر هو القمر الطبيعي الوَحيد للأرض  بالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية. فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو.",ما هو القمر؟,"{'text': array(['القمر الطبيعي الوَحيد للأرض'], dtype=object), 'answer_start': array([9], dtype=int32)}",ما هو القمر؟,ما هو القمر؟
